epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6027,0.93098,3.70692,1.25582,0.40031,0.6755,0.37419,0.24547,1.22484,2.06575,1.91186,0.000122958,0.000122958,0.000122958
2,141.363,0.83127,2.54956,1.1684,0.37792,0.66972,0.55024,0.42636,0.96598,1.75306,1.57316,0.000241415,0.000241415,0.000241415
3,208.908,0.81067,2.0978,1.14539,0.48237,0.71773,0.68358,0.54573,0.88495,1.56741,1.49855,0.000354988,0.000354988,0.000354988
4,278.454,0.77575,1.75365,1.11188,0.66953,0.75894,0.77637,0.61267,0.94206,1.3314,1.5602,0.000348022,0.000348022,0.000348022
5,349.497,0.75431,1.52134,1.09879,0.80958,0.69974,0.82013,0.6765,0.86061,1.21399,1.47372,0.000340696,0.000340696,0.000340696
6,419.964,0.7463,1.34009,1.09634,0.77903,0.7638,0.82786,0.66568,0.93003,1.22585,1.5216,0.00033337,0.00033337,0.00033337
7,490.403,0.71433,1.22988,1.07849,0.75883,0.80415,0.82793,0.67853,0.84053,1.09321,1.43477,0.000326044,0.000326044,0.000326044
8,559.901,0.70059,1.1233,1.06519,0.76421,0.8511,0.85066,0.71564,0.77534,1.02304,1.37256,0.000318718,0.000318718,0.000318718
9,629.453,0.68094,1.06607,1.05205,0.74557,0.78988,0.82329,0.68766,0.77216,1.03162,1.37422,0.000311392,0.000311392,0.000311392
10,699.278,0.67858,1.00992,1.0562,0.77428,0.83856,0.84736,0.70986,0.80446,1.02727,1.40373,0.000304066,0.000304066,0.000304066
11,768.367,0.67293,0.97467,1.05369,0.79102,0.84316,0.86589,0.72829,0.76152,0.94019,1.36016,0.00029674,0.00029674,0.00029674
12,838.505,0.66251,0.93871,1.04559,0.77069,0.86568,0.86188,0.72122,0.77385,0.9779,1.37542,0.000289414,0.000289414,0.000289414
13,908.549,0.66168,0.91998,1.04583,0.79077,0.83637,0.87171,0.7386,0.78916,0.97782,1.3962,0.000282088,0.000282088,0.000282088
14,977.756,0.656,0.88026,1.03615,0.82795,0.81609,0.86985,0.73639,0.76393,0.96783,1.36512,0.000274762,0.000274762,0.000274762
15,1050.53,0.65081,0.85212,1.03471,0.80759,0.84508,0.86173,0.72647,0.753,0.91198,1.36676,0.000267436,0.000267436,0.000267436
16,1123.48,0.63581,0.82056,1.02896,0.8601,0.78492,0.8603,0.72526,0.79323,0.97857,1.40186,0.00026011,0.00026011,0.00026011
17,1201.11,0.63502,0.80375,1.03063,0.84002,0.8239,0.8663,0.74447,0.69143,0.88205,1.3079,0.000252784,0.000252784,0.000252784
18,1274.91,0.62881,0.77873,1.022,0.78351,0.86379,0.86022,0.73711,0.69672,0.92899,1.31181,0.000245458,0.000245458,0.000245458
19,1347.87,0.62274,0.77992,1.01876,0.83072,0.85568,0.86102,0.73582,0.70152,0.86455,1.31723,0.000238132,0.000238132,0.000238132
20,1418.51,0.61557,0.74979,1.01734,0.8147,0.84335,0.87298,0.74538,0.7138,0.86813,1.31461,0.000230806,0.000230806,0.000230806
21,1489.05,0.6128,0.75167,1.01495,0.80022,0.86085,0.87679,0.75685,0.72191,0.92743,1.32104,0.00022348,0.00022348,0.00022348
22,1559.18,0.60578,0.74828,1.01082,0.78969,0.8712,0.87349,0.75314,0.701,0.89296,1.30453,0.000216154,0.000216154,0.000216154
23,1629.39,0.59884,0.72389,1.0069,0.80775,0.87498,0.88815,0.76734,0.67238,0.85119,1.28446,0.000208828,0.000208828,0.000208828
24,1700.33,0.59847,0.70859,1.00562,0.86174,0.83348,0.88474,0.76266,0.68931,0.83889,1.30042,0.000201502,0.000201502,0.000201502
25,1770.6,0.58983,0.68307,1.00294,0.87034,0.83333,0.88196,0.76727,0.66062,0.79159,1.28347,0.000194176,0.000194176,0.000194176
26,1841.25,0.58126,0.6732,0.99961,0.82687,0.8368,0.86591,0.75666,0.65402,0.89394,1.27501,0.00018685,0.00018685,0.00018685
27,1910.8,0.58273,0.66138,0.9957,0.81199,0.85826,0.88293,0.77591,0.64762,0.86144,1.25438,0.000179524,0.000179524,0.000179524
28,1981.16,0.58318,0.65923,0.99374,0.84119,0.87022,0.89265,0.77926,0.64968,0.80284,1.26496,0.000172198,0.000172198,0.000172198
29,2051.26,0.57734,0.65529,0.99334,0.83352,0.88304,0.89433,0.77973,0.63222,0.76149,1.25049,0.000164872,0.000164872,0.000164872
30,2122.06,0.57222,0.63445,0.99058,0.84992,0.85584,0.88457,0.76581,0.68825,0.86912,1.30674,0.000157546,0.000157546,0.000157546
31,2193.03,0.57377,0.63664,0.99129,0.83519,0.8755,0.88888,0.77856,0.64647,0.8107,1.26391,0.00015022,0.00015022,0.00015022
32,2263.98,0.57022,0.62266,0.987,0.8737,0.8375,0.89433,0.77618,0.68567,0.80222,1.3001,0.000142894,0.000142894,0.000142894
33,2335.04,0.55882,0.61391,0.98493,0.84624,0.87593,0.89197,0.77592,0.64484,0.80071,1.26381,0.000135568,0.000135568,0.000135568
34,2406.07,0.56067,0.59746,0.98627,0.82249,0.88388,0.89674,0.78573,0.63275,0.80703,1.24959,0.000128242,0.000128242,0.000128242
35,2476.89,0.56536,0.61071,0.98125,0.84307,0.88149,0.90137,0.78669,0.63411,0.73949,1.26136,0.000120916,0.000120916,0.000120916
36,2547.83,0.5457,0.58604,0.97707,0.85719,0.86271,0.90142,0.79037,0.62874,0.77201,1.24808,0.00011359,0.00011359,0.00011359
37,2618.64,0.55459,0.57836,0.98037,0.85339,0.86067,0.8929,0.78706,0.63075,0.7718,1.24563,0.000106264,0.000106264,0.000106264
38,2689.49,0.54614,0.57261,0.97724,0.85278,0.86946,0.89643,0.78812,0.63181,0.77705,1.25786,9.8938e-05,9.8938e-05,9.8938e-05
39,2760.58,0.53611,0.56062,0.97023,0.85813,0.86281,0.89382,0.78146,0.63258,0.77265,1.256,9.1612e-05,9.1612e-05,9.1612e-05
40,2830.96,0.53773,0.55324,0.97143,0.87805,0.82772,0.89062,0.78149,0.6358,0.7946,1.2581,8.4286e-05,8.4286e-05,8.4286e-05
41,2931.01,0.52295,0.39606,0.94762,0.83656,0.87227,0.89259,0.78915,0.61946,0.78246,1.24209,7.696e-05,7.696e-05,7.696e-05
42,3000.95,0.50943,0.37357,0.93882,0.87746,0.85803,0.89922,0.79897,0.59737,0.73058,1.21937,6.9634e-05,6.9634e-05,6.9634e-05
43,3072.9,0.50197,0.36306,0.93551,0.85784,0.87795,0.90259,0.80286,0.58912,0.73823,1.21862,6.2308e-05,6.2308e-05,6.2308e-05
44,3143.25,0.49824,0.36204,0.93586,0.88614,0.85298,0.8985,0.80021,0.57421,0.73863,1.20486,5.4982e-05,5.4982e-05,5.4982e-05
45,3213.4,0.49195,0.34658,0.93056,0.85554,0.88441,0.90336,0.79953,0.59459,0.72183,1.22681,4.7656e-05,4.7656e-05,4.7656e-05
46,3284.03,0.48981,0.34525,0.92576,0.85846,0.87325,0.90211,0.8005,0.59347,0.75501,1.21475,4.033e-05,4.033e-05,4.033e-05
47,3354.43,0.48381,0.33559,0.92342,0.88751,0.8623,0.90692,0.81099,0.56755,0.73753,1.20067,3.3004e-05,3.3004e-05,3.3004e-05
48,3425.23,0.47768,0.3339,0.92033,0.86246,0.87943,0.90443,0.80953,0.56353,0.73555,1.19426,2.5678e-05,2.5678e-05,2.5678e-05
49,3496.09,0.47397,0.32683,0.92042,0.84281,0.89075,0.90352,0.80947,0.56997,0.73918,1.20445,1.8352e-05,1.8352e-05,1.8352e-05
50,3565.79,0.47125,0.32159,0.9161,0.86732,0.86392,0.89968,0.80885,0.56632,0.77471,1.19848,1.1026e-05,1.1026e-05,1.1026e-05
